公司名称,统一社会信用代码,整合后产业链环节,是否有专利,注册地址,企业表所属城市,高德返回格式化地址,高德返回省,高德返回市,高德返回区县,adcode,经度,纬度,level,高德状态,高德信息,返回条数
深圳联合飞机科技有限公司,914403003116581250,上游,是,深圳市龙岗区园山街道大康社区联合飞机大厦2栋厂房101,深圳市,广东省深圳市龙岗区园山街道大康社区联合飞机大厦,广东省,深圳市,龙岗区,440307.0,114.235163,22.653903,兴趣点,1,OK,1
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋AB座413A-5,深圳市,广东省深圳市南山区招商街道花果山社区工业六路4号兴华工业大厦7栋A座,广东省,深圳市,南山区,440305,113.919219,22.493348,门址,1,OK,1
嘉馨（广州）低空经济产业发展有限公司,91440113MAEGPGXA9J,上游,否,广州市番禺区东环街番禺大道北555号天安总部中心23号楼1101单元,广州市,广东省广州市番禺区番禺大道北555号天安总部中心23号楼,广东省,广州市,番禺区,440113.0,113.373908,22.978208,门址,1,OK,1
广东横琴东昇防务科技有限公司,91440400MACN71M6XE,上游,否,珠海市横琴天羽道48号1011文化创意,珠海市,广东省珠海市香洲区横琴天羽道91号,广东省,珠海市,香洲区,440402.0,113.518232,22.123953,门牌号,1,OK,1
星耀空科低空科技（深圳）有限公司,91440300MAEB3T1B45,上游,否,深圳市龙华区龙华街道松和社区东环一路108号油松科技大厦B1342,深圳市,广东省深圳市龙华区龙华街道松和社区东环一路108号油松科技大厦b1342号,广东省,深圳市,龙华区,440309,114.040088,22.645408,门址,1,OK,1
深圳蜚廉低空飞行服务有限公司,91440300MADFFCFB4G,上游,否,深圳市龙岗区吉华街道甘坑社区甘李二路11号中海信创新产业城21栋103,深圳市,广东省深圳市龙岗区吉华街道甘坑社区甘李二路11号中海信创新产业城21栋,广东省,深圳市,龙岗区,440307,114.118475,22.648694,兴趣点,1,OK,1
珠海光恒科技有限公司,91440400MA4WAGEK48,上游,否,珠海市香洲区永南路388号2栋201房,珠海市,广东省珠海市香洲区,广东省,珠海市,香洲区,440402.0,113.543372,22.265635,区县,1,OK,1
深圳市大疆创新科技有限公司,914403007954257495,中游,是,深圳市南山区西丽街道西丽社区仙元路53号大疆天空之城T2大堂,深圳市,广东省深圳市南山区西丽街道西丽社区大疆天空之城,广东省,深圳市,南山区,440305.0,113.942888,22.577473,兴趣点,1,OK,1
广州极飞科技股份有限公司,91440106593721849Y,中游,是,广州市黄埔区新瑞路9号1号楼101房,广州市,广东省广州市黄埔区新瑞路9号,广东省,广州市,黄埔区,440112.0,113.480754,23.159317,门址,1,OK,2
深圳市道通智能航空技术股份有限公司,91440300306077254B,中游,是,深圳市前海深港合作区南山街道桂湾五路128号基金小镇基金9米商业平台29-24（一照多址企业）,深圳市,广东省深圳市南山区前海南山街道桂湾基金小镇,广东省,深圳市,南山区,440305,113.904625,22.529312,乡镇,1,OK,1
华为技术有限公司,914403001922038216,中游,是,深圳市龙岗区坂田华为总部办公楼,深圳市,广东省深圳市龙岗区,广东省,深圳市,龙岗区,440307.0,114.246884,22.720889,区县,1,OK,1
广东汇天航空航天科技有限公司,91440101MA9W1BQA5Y,中游,是,广州市天河区岑村丰庄大街8号8层801室,广州市,广东省广州市天河区岑村丰庄大街,广东省,广州市,天河区,440106.0,113.381784,23.159138,道路,1,OK,3
丰翼科技(深圳)有限公司,91440300MA5FA4QL2L,中游,是,深圳市宝安区航城街道草围社区深圳机场航站四路1111号顺丰华南转运中心综合楼六层,深圳市,广东省深圳市宝安区航城街道草围街道新和社区航站四路1111号,广东省,深圳市,宝安区,440306.0,113.832804,22.620869,门址,1,OK,3
亿航智能设备有限公司,91440116MA59AB9P0B,中游,是,广州市黄埔区东江大道118号,广州市,广东省广州市黄埔区东江大道118号,广东省,广州市,黄埔区,440112,113.529652,23.054508,门牌号,1,OK,1
南方电网通用航空服务有限公司,91530000MA6MYLGN0A,中游,是,广州市南沙区横沥镇明珠一街1号404房A207（仅限办公）,广州市,广东省广州市南沙区横沥镇,广东省,广州市,南沙区,440115.0,113.498253,22.749483,乡镇,1,OK,1
