公司名称,统一社会信用代码,注册地址,企业主表所属城市,高德返回格式化地址,高德返回省,高德返回市,高德返回区县,adcode,经度,纬度,level,高德状态,高德信息,返回条数
广东省低空经济产业发展有限公司,91440000MADNK47L8G,广东省广州市白云区三元里街道机场路航云北街自编342幢2楼,广州市,广东省广州市白云区三元里街道机场路航云北街,广东省,广州市,白云区,440111,113.261524,23.179122,道路,1,OK,3
鹏城低空经济产业发展（深圳）有限公司,91440300MA5HRHAL06,深圳市福田区华强北街道荔村社区华强北路2030号桑达418栋夹1层整层,深圳市,广东省深圳市福田区华强北街道荔村社区华强北路2030号,广东省,深圳市,福田区,440304,114.085654,22.548192,门牌号,1,OK,1
国合智联低空经济研究（广州）有限公司,91440101MA5AQDU541,广州市南沙区进港大道20号119商铺自编402室（仅限办公用途）,广州市,广东省广州市南沙区进港大道20号,广东省,广州市,南沙区,440115,113.545219,22.799759,门址,1,OK,2
星链低空经济产业（广东）有限公司,91440300MADN5D039E,深圳市前海深港合作区南山街道自贸西街151号招商局前海经贸中心一期401-A19,深圳市,广东省深圳市南山区前海深港合作区南山街道自贸西街,广东省,深圳市,南山区,440305,113.888338,22.502337,道路,1,OK,4
广州低空经济科技有限公司,91440118MADN3D7G9W,广州市增城区华立科技园华立路1号广东工业大学华立学院办公楼7号8175,广州市,广东省广州市增城区华立学院(公交站),广东省,广州市,增城区,440118,113.862951,23.239128,公交地铁站点,1,OK,1
东融低空经济产业（深圳）有限公司,91440300MACM90CQ7A,深圳市盐田区盐田街道盐田社区盐三路东部通航直升机基地1层,深圳市,广东省深圳市宝安区盐田村宝安街道盐田社区,广东省,深圳市,宝安区,440306,113.862630,22.580950,村庄,1,OK,5
广州低空经济发展有限公司,91440104MACCLRUY7P,广州市越秀区解放南路123号3楼B35,广州市,广东省广州市越秀区解放南路123号,广东省,广州市,越秀区,440104,113.262313,23.116949,门址,1,OK,4
东莞市低空经济发展有限公司,91441900MAE55MNM0H,广东省东莞市松山湖园区学府路1号9栋108室,东莞市,广东省东莞市松山湖学府路1号9栋,广东省,东莞市,,441900,113.866119,22.899097,小巷,1,OK,3
深圳低空经济发展有限公司,91440300MACYHDQ117,深圳市龙华区观澜街道桂花社区贵湖塘街北巷8号201,深圳市,广东省深圳市龙华区观澜街道桂花社区贵湖塘街北巷8号,广东省,深圳市,龙华区,440309,114.056981,22.721253,门址,1,OK,1
华南低空经济（广东）有限公司,91441900MAE9MFMNXH,广东省东莞市塘厦镇高丽五路1号之七2栋302室,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
岭南低空经济（广东）有限公司,91441900MAE9W1PY5U,广东省东莞市塘厦镇莲湖南四横路5号2号楼301室,东莞市,广东省东莞市塘厦镇莲湖南四横路5号,广东省,东莞市,,441900,114.107638,22.820023,门牌号,1,OK,2
广东省民资低空经济发展有限公司,91441900MAECTQJX3N,广东省东莞市南城街道东莞大道南城段428号寰宇汇金中心9栋2单元502室,东莞市,广东省东莞市南城街道东莞大道,广东省,东莞市,,441900,113.740356,22.987601,道路,1,OK,3
广东华疆低空经济有限公司,91441900MAEG8GEK77,广东省东莞市东城街道堑头围仔四巷6号之一,东莞市,广东省东莞市东城街道堑头街道四巷6号,广东省,东莞市,,441900,113.816882,23.037167,门址,1,OK,5
璀璨低空经济发展（广东）有限公司,91441900MAK20KJU6M,广东省东莞市松山湖园区总部二路9号1栋1单元407、409室（集群注册）,东莞市,,,,,,,,,0,CUQPS_HAS_EXCEEDED_THE_LIMIT,0
深圳市九州低空经济有限公司,91440300MA5HWRQK9H,深圳市罗湖区南湖街道嘉北社区人民南路3012号天安国际大厦C2306F7,深圳市,广东省深圳市罗湖区南湖街道嘉北社区社区人民南路天安国际大厦,广东省,深圳市,罗湖区,440303,114.119377,22.542010,兴趣点,1,OK,1
广东省湾区低空经济研究院,91440605MACKUJWX67,佛山市南海区丹灶镇仙湖度假区阳光路3号仙湖湾商业广场C座1层之一（住所申报）,佛山市,广东省佛山市南海区丹灶镇仙湖阳光路8号,广东省,佛山市,南海区,440605,112.884884,23.050042,门牌号,1,OK,8
广东飞能低空经济发展有限公司,91440523MAC9QJG88F,汕头市龙湖区蓝田庄南区4幢401号房之一,汕头市,广东省汕头市龙湖区蓝田庄南区,广东省,汕头市,龙湖区,440507,116.739315,23.369334,住宅区,1,OK,1
