company_id,company_name,node_index,label,train_mask,val_mask,test_mask
91440000MADNK47L8G,广东省低空经济产业发展有限公司,0,0,1,0,0
91440300MA5HRHAL06,鹏城低空经济产业发展（深圳）有限公司,1,0,0,1,0
91440101MA5AQDU541,国合智联低空经济研究（广州）有限公司,2,0,1,0,0
91440300MADN5D039E,星链低空经济产业（广东）有限公司,3,0,1,0,0
91440118MADN3D7G9W,广州低空经济科技有限公司,4,0,1,0,0
91440300MACM90CQ7A,东融低空经济产业（深圳）有限公司,5,1,0,1,0
91440104MACCLRUY7P,广州低空经济发展有限公司,6,0,0,1,0
91441900MAE55MNM0H,东莞市低空经济发展有限公司,7,0,1,0,0
91440300MACYHDQ117,深圳低空经济发展有限公司,8,0,1,0,0
91441900MAE9MFMNXH,华南低空经济（广东）有限公司,9,0,1,0,0
91441900MAE9W1PY5U,岭南低空经济（广东）有限公司,10,0,1,0,0
91441900MAECTQJX3N,广东省民资低空经济发展有限公司,11,0,1,0,0
91441900MAEG8GEK77,广东华疆低空经济有限公司,12,0,1,0,0
91441900MAK20KJU6M,璀璨低空经济发展（广东）有限公司,13,0,1,0,0
91440300MA5HWRQK9H,深圳市九州低空经济有限公司,14,0,1,0,0
91440605MACKUJWX67,广东省湾区低空经济研究院,15,0,1,0,0
91440523MAC9QJG88F,广东飞能低空经济发展有限公司,16,0,1,0,0
91440300MAEEP8Q33W,深圳竹园新低空经济发展有限公司,17,0,0,0,1
91440115MAEHUHN71L,广州低空经济产业发展有限公司,18,0,1,0,0
91440300MA5GRELF2P,深圳晟坤低空经济有限公司,19,0,1,0,0
91440204MAA4HQEQ44,韶关市鹏翔低空经济发展有限公司,20,0,1,0,0
91441900MAEF1GR154,广东财富低空经济有限公司,21,0,1,0,0
91440300312065452K,深圳兰德低空经济咨询有限公司,22,0,1,0,0
91440300MA5G0Y8T1X,中和领航低空经济发展（深圳）有限公司,23,0,0,0,1
91440300MAEDAJ7C3N,深圳适航低空经济有限公司,24,0,0,0,1
