申请号,专利名称,申请年份,申请人,主导申请人名称,当前权利人,专利表统一社会信用代码,建议匹配企业,建议匹配信用代码,建议匹配方式,人工复核原因
CN202411413992.0,智能督查系统和方法,2024,广东电网有限责任公司; 广东电网有限责任公司揭阳供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司揭阳供电局,91440000730486030B; 91445200190412515J,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411344937.0,无人机的通信方法和装置、存储介质及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司湛江供电局,91440000730486030B; 91440803194383571C,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202410998248.5,设备的检测方法、系统、计算机存储介质及电子设备,2024,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,广东电网有限责任公司云浮供电局,91445302736165326Y,广东电网有限责任公司广州供电局,91440101734916755P,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.867
CN202210372612.8,一种交桩点核查方法、系统、设备及存储介质,2022,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司韶关供电局,91440000730486030B; 914402001915260394,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411567677.3,未知无人机信号识别方法、装置及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411507740.4,一种无人机定位方法、装置、设备及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司惠州供电局,91440000730486030B; 91441300617890883M,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411503635.3,一种应用于低空飞行的数据安全分析系统及方法,2024,深圳市智安托科技有限公司,深圳市智安托科技有限公司,深圳市智安托科技有限公司,91440300MA5G5QK30W,深圳市智源万联科技有限公司,91440300MADFQJH81G,相似名称候选(标准名),未匹配到企业；存在高相似候选:0.8
CN202411717690.2,无人机的位置信息确定方法、装置和可读存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411729395.9,基于YOLO-Mamba融合模型的防坠落装置安装点位识别方法,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411743203.X,无人机的控制方法、存储介质、处理器及电子装置,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411744342.4,物联网辅助的变电站室内无人机导航控制系统、方法及电子设备,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
CN202411729447.2,无人机自主避障路径规划方法、装置及存储介质,2024,广东电网有限责任公司; 广东电网有限责任公司中山供电局,广东电网有限责任公司,广东电网有限责任公司; 广东电网有限责任公司中山供电局,91440000730486030B; 9144200073755186X1,广东电网有限责任公司,91440000730486030B,名称精确匹配,多申请人；名称匹配建议复核；主导申请人与当前权利人不一致
