统一社会信用代码,公司名称,企业标准名,申请号,专利名称,申请年份,IPC主分类号,申请人,主导申请人名称,当前权利人,匹配方式,匹配置信度,是否人工复核,人工复核原因,主匹配企业,主匹配企业信用代码,专利类型,申请人城市,IPC分类号,是否产学研联合申请,合作关系五分类,多申请人标记,专利表统一社会信用代码
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110067808.1,用于利用视觉标记进行监视的系统和方法,2014,G05D1/08,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/08; G05D1/10,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110067820.2,用于利用视觉标记进行监视的系统和方法,2014,G05D1/08,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/08; G05D1/10,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110103795.9,用于飞行模拟的系统和方法,2014,G05D1/08,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/08; G05D1/10; G09B9/48,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110709937.6,载运工具高度限制和控制,2014,G05D1/10,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/10,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110067486.0,用于利用视觉标记进行监视的系统和方法,2014,G05D1/10,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/10,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110393178.7,用于确定沿边界的飞行限制区的方法,2015,G08G5/00,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G08G5/00; G05D1/02; G05D1/10; B64C39/02; B64D47/08,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110793201.1,无人机自动停桨控制系统、控制方法及无人机,2015,G05D1/08,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/08; G05D1/10,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202110800387.9,一种无人机第一视角飞行的控制方法及系统、智能眼镜,2016,G05D1/08,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/08; G05D1/10,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202011097442.4,控制方法、控制设备和无人机,2016,G05D1/00,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/00; G05D1/04; G05D1/08; G05D13/62; G05D13/66,0,无跨主体合作,否,914403007954257495
914403007954257495,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,CN202011464102.0,无人机及其控制方法,2016,G05D1/10,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,深圳市大疆创新科技有限公司,信用代码直连,1.0,否,,深圳市大疆创新科技有限公司,914403007954257495,发明申请,深圳,G05D1/10,0,无跨主体合作,否,914403007954257495
