公司名称,统一社会信用代码,成立日期,所属城市,所属区县,注册地址,曾用名,经营范围,企业(机构)类型,天眼评分,企业标准名,企业简称,企业类型标签,成立年份分层,样本标记,样本分层标签,产业链环节,产业链判定依据,企业规模,参保人数,法定代表人,登记状态,注册资本,实缴资本,官网,企业简介,数据来源
广东省低空经济产业发展有限公司,91440000MADNK47L8G,2024-06-21,广州市,白云区,广东省广州市白云区三元里街道机场路航云北街自编342幢2楼,-,一般项目：航空运营支持服务；航空商务服务；人工智能行业应用系统集成服务；电子专用设备制造；智能无人飞行器制造；智能无人飞行器销售；数字文化创意技术装备销售；信息系统集成服务；信息系统运行维护服务；卫星通信服务；气象信息服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；公共安全管理咨询服务；信息技术咨询服务；工程技术服务（规划管理、勘察、设计、监理除外）；工程和技术研究和试验发展；以自有资金从事投资活动；软件开发；数字文化创意软件开发；租赁服务（不含许可类租赁服务）；运输设备租赁服务；蓄电池租赁；旅游开发项目策划咨询；咨询策划服务；专业设计服务；会议及展览服务；体验式拓展活动及策划；企业管理咨询；工程管理服务；站用加氢及储氢设施销售；储能技术服务；充电控制设备租赁；电动汽车充电基础设施运营；广告发布；信息咨询服务（不含许可类信息咨询服务）；认证咨询；社会经济咨询服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：通用航空服务；民用机场运营；民用航空器维修；民用航空维修人员培训；飞行训练；民用航空器驾驶员培训；检验检测服务；安全生产检验检测；建设工程质量检测；民用航空油料储运及加注（含抽取）服务；升放无人驾驶气球、系留气球；建设工程勘察；建设工程施工；建设工程设计；互联网信息服务；餐饮服务；测绘服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司（非自然人投资或控股的法人独资）,88,广东省低空经济产业发展有限公司,低空经济产业发展,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
鹏城低空经济产业发展（深圳）有限公司,91440300MA5HRHAL06,2023-03-29,深圳市,福田区,深圳市福田区华强北街道荔村社区华强北路2030号桑达418栋夹1层整层,-,一般经营项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；消防技术服务；科普宣传服务；文化场馆管理服务；智能无人飞行器制造；智能无人飞行器销售；与农业生产经营有关的技术、信息、设施建设运营等服务；智能农业管理；农业专业及辅助性活动；农业机械服务；农业机械销售；国内贸易代理；工业自动控制系统装置销售；企业管理；园区管理服务；导航、测绘、气象及海洋专用仪器销售；租赁服务（不含许可类租赁服务）；民用航空材料销售；航空运输设备销售；航空商务服务；航空运营支持服务；农业科学研究和试验发展；会议及展览服务。广告发布；数字广告发布；玩具销售；互联网销售（除销售需要许可的商品）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；特种作业人员安全技术培训；组织文化艺术交流活动；电子产品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可经营项目：无。,有限责任公司,83,鹏城低空经济产业发展(深圳)有限公司,鹏城低空经济产业发展(深圳,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、测绘、控制系统,,,,存续,,,,,天眼查关键词企业
国合智联低空经济研究（广州）有限公司,91440101MA5AQDU541,2018-03-02,广州市,南沙区,广州市南沙区进港大道20号119商铺自编402室（仅限办公用途）,国合诚成（广州）区域经济研究有限公司,投资咨询服务;城市规划设计;信息技术咨询服务;风景园林工程的技术研究、开发;网络技术的研究、开发;通信技术研究开发、技术服务;会议及展览服务;科技信息咨询服务;网络安全信息咨询;,其他有限责任公司,73,国合智联低空经济研究(广州)有限公司,国合智联低空经济研究(广州,投资发展类,2010-2019,否,,下游,服务,,,,存续,,,,,天眼查关键词企业
星链低空经济产业（广东）有限公司,91440300MADN5D039E,2024-06-26,深圳市,南山区,深圳市前海深港合作区南山街道自贸西街151号招商局前海经贸中心一期401-A19,-,智能无人飞行器销售；智能机器人的研发；智能机器人销售；工业机器人销售；农业机械服务；农业机械销售；货物进出口；技术进出口；国内贸易代理；民用航空材料销售；信息技术咨询服务；露营地服务；航空商务服务；租赁服务（不含许可类租赁服务）；票务代理服务；航空运输设备销售；导航、测绘、气象及海洋专用仪器销售；游览景区管理；咨询策划服务；体验式拓展活动及策划；婚庆礼仪服务；组织文化艺术交流活动；船舶租赁；信息咨询服务（不含许可类信息咨询服务）；旅游开发项目策划咨询；游艇租赁；娱乐船和运动船销售；游艺用品及室内游艺器材销售；信息系统集成服务；气象观测服务；气象信息服务；工程和技术研究和试验发展；紧急救援服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）无,有限责任公司（非自然人投资或控股的法人独资）,73,星链低空经济产业(广东)有限公司,星链低空经济产业(广东,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、测绘、系统集成,,,,存续,,,,,天眼查关键词企业
广州低空经济科技有限公司,91440118MADN3D7G9W,2024-06-07,广州市,增城区,广州市增城区华立科技园华立路1号广东工业大学华立学院办公楼7号8175,-,新材料技术推广服务;计算机软硬件及辅助设备零售;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;外卖递送服务;机械设备租赁;智能无人飞行器制造;智能无人飞行器销售;新材料技术研发;智能机器人的研发;智能机器人销售;电子专用设备制造;仪器仪表制造;智能仪器仪表制造;电子元器件制造;物联网设备制造;电子产品销售;电力电子元器件制造;通讯设备修理;通信设备制造;计算机软硬件及外围设备制造;;城市配送运输服务（不含危险货物）;,有限责任公司(自然人投资或控股),53,广州低空经济科技有限公司,低空经济科技,服务平台类,2023-2025,否,,中游,飞行器、智能无人飞行器,,,,存续,,,,,天眼查关键词企业
东融低空经济产业（深圳）有限公司,91440300MACM90CQ7A,2023-06-30,深圳市,盐田区,深圳市盐田区盐田街道盐田社区盐三路东部通航直升机基地1层,低空经济产业（深圳）有限公司,会议及展览服务；信息技术咨询服务；咨询策划服务；项目策划与公关服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）物业管理；通用航空服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司,88,东融低空经济产业(深圳)有限公司,东融低空经济产业(深圳,产业运营类,2023-2025,是,深圳市|2023-2025|产业运营类|零专利,中游,航空,,,,存续,,,,,天眼查关键词企业
广州低空经济发展有限公司,91440104MACCLRUY7P,2023-04-03,广州市,越秀区,广州市越秀区解放南路123号3楼B35,广东省寰球海外咨询服务有限公司，广东省微风发电站有限公司,科普宣传服务;地理遥感信息服务;货物进出口;技术进出口;电子、机械设备维护（不含特种设备）;工业控制计算机及系统销售;工业控制计算机及系统制造（仅限分支机构经营）;计算机软硬件及外围设备制造（仅限分支机构经营）;人工智能基础软件开发;电子产品销售;国内贸易代理;专用设备修理;机械设备销售;机械零件、零部件销售;通信设备制造（仅限分支机构经营）;普通机械设备安装服务;专用设备制造（不含许可类专业设备制造）（仅限分支机构经营）;计算机及通讯设备租赁;机械设备租赁;服务消费机器人销售;工业设计服务;工业机器人安装、维修;机械设备研发;金属材料制造（仅限分支机构经营）;金属材料销售;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;工程和技术研究和试验发展;特殊作业机器人制造（仅限分支机构经营）;人工智能硬件销售;智能机器人销售;智能机器人的研发;服务消费机器人制造（仅限分支机构经营）;人工智能行业应用系统集成服务;智能无人飞行器制造（仅限分支机构经营）;智能无人飞行器销售;信息系统集成服务;导航、测绘、气象及海洋专用仪器制造（仅限分支机构经营）;雷达及配套设备制造（仅限分支机构经营）;水下系统和作业装备制造（仅限分支机构经营）;海洋能系统与设备制造（仅限分支机构经营）;数字视频监控系统制造（仅限分支机构经营）;船舶自动化、检测、监控系统制造（仅限分支机构经营）;卫星导航多模增强应用服务系统集成;智能水务系统开发;数字视频监控系统销售;卫星遥感应用系统集成;智能控制系统集成;工业自动控制系统装置销售;工业自动控制系统装置制造（仅限分支机构经营）;水下系统和作业装备销售;物联网技术服务;软件开发;信息技术咨询服务;安防设备销售;信息安全设备销售;物联网设备销售;电力电子元器件销售;工业机器人销售;计算机软硬件及辅助设备零售;生态环境监测及检测仪器仪表销售;海洋水质与生态环境监测仪器设备销售;大气污染监测及检测仪器仪表制造（仅限分支机构经营）;水质污染物监测及检测仪器仪表制造（仅限分支机构经营）;生态环境监测及检测仪器仪表制造（仅限分支机构经营）;工业互联网数据服务;物联网设备制造（仅限分支机构经营）;安全技术防范系统设计施工服务;安全、消防用金属制品制造（仅限分支机构经营）;安防设备制造（仅限分支机构经营）;消防技术服务;消防器材销售;工业机器人制造（仅限分支机构经营）;业务培训（不含教育培训、职业技能培训等需取得许可的培训）;教育咨询服务（不含涉许可审批的教育培训活动）;测绘服务;通用航空服务;民用航空器驾驶员培训,有限责任公司(自然人投资或控股),47,广州低空经济发展有限公司,低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
东莞市低空经济发展有限公司,91441900MAE55MNM0H,2024-12-03,东莞市,东莞市,广东省东莞市松山湖园区学府路1号9栋108室,-,一般项目：航空运营支持服务；航空商务服务；人工智能行业应用系统集成服务；信息系统集成服务；信息系统运行维护服务；卫星通信服务；气象信息服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；公共安全管理咨询服务；信息技术咨询服务；工程技术服务（规划管理、勘察、设计、监理除外）；工程和技术研究和试验发展；储能技术服务；咨询策划服务；会议及展览服务；体验式拓展活动及策划；企业管理咨询；工程管理服务；租赁服务（不含许可类租赁服务）；非居住房地产租赁；运输设备租赁服务；蓄电池租赁；智能无人飞行器销售；软件开发；大数据服务；数据处理服务；人工智能公共数据平台；以自有资金从事投资活动；电动汽车充电基础设施运营。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,有限责任公司（非自然人投资或控股的法人独资）,79,东莞市低空经济发展有限公司,低空经济发展,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、系统集成,,,,存续,,,,,天眼查关键词企业
深圳低空经济发展有限公司,91440300MACYHDQ117,2023-09-20,深圳市,龙华区,深圳市龙华区观澜街道桂花社区贵湖塘街北巷8号201,-,信息技术咨询服务；智能无人飞行器销售；国内贸易代理；工业自动控制系统装置销售；企业管理；导航、测绘、气象及海洋专用仪器销售；租赁服务（不含许可类租赁服务）；民用航空材料销售；航空运输设备销售；航空商务服务；航空运营支持服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）无,有限责任公司,73,深圳低空经济发展有限公司,低空经济发展,产业运营类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、测绘、控制系统,,,,存续,,,,,天眼查关键词企业
华南低空经济（广东）有限公司,91441900MAE9MFMNXH,2025-01-03,东莞市,东莞市,广东省东莞市塘厦镇高丽五路1号之七2栋302室,-,一般项目：航空运营支持服务；航空商务服务；卫星导航服务；智能无人飞行器销售；运输设备租赁服务；导航、测绘、气象及海洋专用仪器销售；以自有资金从事投资活动；票据信息咨询服务；国内贸易代理；供应链管理服务；物联网应用服务；破产清算服务；商业综合体管理服务；资产评估；航空运输设备销售；信息系统集成服务；国内货物运输代理；融资咨询服务；地理遥感信息服务；卫星通信服务；卫星遥感应用系统集成；卫星移动通信终端销售；导航终端销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：通用航空服务；公共航空运输；商业非运输、私用大型航空器运营人、航空器代管人运行业务；民用机场运营；城市配送运输服务（不含危险货物）；民用航空油料检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,有限责任公司（非自然人投资或控股的法人独资）,67,华南低空经济(广东)有限公司,华南低空经济(广东,投资发展类,2023-2025,否,,中游,飞行器、航空、智能无人飞行器、航空器、测绘,,,,存续,,,,,天眼查关键词企业
