主导申请人名称,统一社会信用代码,申请人城市,当前权利人,专利数,IPC主分类号数,首次申请年份,最近申请年份,主体类型判断,是否广东样本城市,是否头部关键词命中,推荐补录优先级,补录建议
成都纵横大鹏无人机科技有限公司,91510122MA61RK0C98,成都,成都纵横大鹏无人机科技有限公司,22,19,2019,2024,企业,否,是,P1-立即补录,建议补录进企业主表
峰飞航空科技(昆山)有限公司,91320583MA7E44D83T,苏州,峰飞航空科技(昆山)有限公司,14,11,2022,2023,企业,否,是,P1-立即补录,建议补录进企业主表
深圳高度创新技术有限公司,91440300MA5FLW8L4T,深圳,深圳高度创新技术有限公司,12,9,2019,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州天海翔航空科技有限公司,91440101783799823N,广州,广州天海翔航空科技有限公司,11,8,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳大漠大智控技术有限公司,91440300MA5DBA312P,深圳,深圳大漠大智控技术有限公司,11,8,2020,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市塞防科技有限公司,91440300MA5G4HRU60,深圳,深圳市塞防科技有限公司,10,10,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州成至智能机器科技有限公司,91440114665904928Y,广州,广州成至智能机器科技有限公司,10,9,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
四川沃飞长空科技发展有限公司,; 91330000747735638J,成都,四川沃飞长空科技发展有限公司; 浙江吉利控股集团有限公司,10,6,2023,2024,企业,否,是,P1-立即补录,建议补录进企业主表
广东翼景信息科技有限公司,91440106673494383F,广州,广东翼景信息科技有限公司,10,5,2021,2023,企业,是,否,P1-立即补录,建议补录进企业主表
上海峰飞航空科技有限公司,91310000MA1JCEM427,上海,上海峰飞航空科技有限公司,9,8,2018,2019,企业,否,是,P1-立即补录,建议补录进企业主表
中兴通讯股份有限公司,9144030027939873X7,深圳,中兴通讯股份有限公司,9,8,2022,2023,企业,是,否,P1-立即补录,建议补录进企业主表
深圳供电局有限公司,91440300589179428T,深圳,深圳供电局有限公司,9,8,2020,2024,企业,是,否,P1-立即补录,建议补录进企业主表
南方电网大数据服务有限公司,91440101MA59RTD972,广州,南方电网大数据服务有限公司,9,5,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州地月轨道空间科技有限公司,91440115MABPAD9G86,广州,广州地月轨道空间科技有限公司,8,8,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳飞马机器人股份有限公司,91440300326571946X,深圳,深圳飞马机器人股份有限公司,8,8,2019,2024,企业,是,否,P1-立即补录,建议补录进企业主表
OPPO广东移动通信有限公司,914419007480321175,东莞,OPPO广东移动通信有限公司,8,6,2017,2023,企业,是,否,P1-立即补录,建议补录进企业主表
成都纵横自动化技术股份有限公司,915101005535556718,成都,成都纵横自动化技术股份有限公司,8,6,2021,2024,企业,否,是,P1-立即补录,建议补录进企业主表
深圳市凯之成智能装备有限公司,91440300358230679X,深圳,深圳市凯之成智能装备有限公司,8,5,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市多翼创新科技有限公司,914403003265589878,深圳,深圳市多翼创新科技有限公司,7,7,2018,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州海格通信集团股份有限公司,91440101724308182L,广州,广州海格通信集团股份有限公司,7,6,2022,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市高巨创新科技开发有限公司,91440300319549708P,深圳,深圳市高巨创新科技开发有限公司,7,6,2017,2022,企业,是,否,P1-立即补录,建议补录进企业主表
广州南方测绘科技股份有限公司,91440106712420126W,广州,广州南方测绘科技股份有限公司,7,5,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州科粒技术开发有限公司,91440106MACD6YRC6X,广州,广州科粒技术开发有限公司,7,5,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳开鸿数字产业发展有限公司,91440300MA5GYC4Q7X,深圳,深圳开鸿数字产业发展有限公司,7,5,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳互酷科技有限公司,; 91330000747735638J,深圳,深圳互酷科技有限公司; 浙江吉利控股集团有限公司,7,3,2022,2024,企业,是,否,P1-立即补录,建议补录进企业主表
思翼科技(深圳)有限公司,91440300MA5EFM7D1Q,深圳,思翼科技(深圳)有限公司,6,6,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市三合智义科技有限公司,91440300MA5DL6XRXG,深圳,深圳市三合智义科技有限公司,6,6,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市博坦智能有限公司,91440300319694358B,深圳,深圳市博坦智能有限公司,6,5,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳联和智慧科技有限公司,91440300MA5FUFMF71,深圳,深圳联和智慧科技有限公司,6,5,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
中国平安财产保险股份有限公司,914403007109307208,深圳,中国平安财产保险股份有限公司,6,4,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州中科智云科技有限公司,91440101MA5AK5454X,广州,广州中科智云科技有限公司,6,4,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
中国南方电网有限责任公司超高压输电公司广州局,914401017783706782,广州,中国南方电网有限责任公司超高压输电公司广州局,5,5,2021,2023,企业,是,否,P1-立即补录,建议补录进企业主表
广东容祺智能科技有限公司,91440300682004518J,深圳,广东容祺智能科技有限公司,5,5,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州市鑫广飞信息科技有限公司,91440116MA59C8A998,广州,广州市鑫广飞信息科技有限公司,5,5,2019,2023,企业,是,否,P1-立即补录,建议补录进企业主表
广州科易光电技术有限公司,91440116745991291W,广州,广州科易光电技术有限公司,5,5,2019,2023,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市三合信义科技发展有限公司,91440300MA5DKL3030,深圳,深圳市三合信义科技发展有限公司,5,5,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市乐凡信息科技有限公司,914403003196375808,深圳,深圳市乐凡信息科技有限公司,5,5,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市卓派自动化技术有限公司,91440300MA5ENRJT67,深圳,深圳市卓派自动化技术有限公司,5,5,2020,2023,企业,是,否,P1-立即补录,建议补录进企业主表
深圳赛尔智控科技有限公司,91440300MA5G0HE81F,深圳,深圳赛尔智控科技有限公司,5,5,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
万勋科技(深圳)有限公司,91440300MA5FTFAM2H,深圳,万勋科技(深圳)有限公司,5,4,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市翔农创新科技有限公司,91440113050631767T,深圳,深圳市翔农创新科技有限公司,5,4,2018,2019,企业,是,否,P1-立即补录,建议补录进企业主表
广州爱浦路网络技术有限公司,91440101321629141U,广州,广州爱浦路网络技术有限公司,5,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳块织类脑智能科技有限公司,91440300MA5D95430M,深圳,深圳块织类脑智能科技有限公司,5,3,2020,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市星辰智途科技有限公司,91440300MADFL10Q40,深圳,深圳市星辰智途科技有限公司,5,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
稞米科技(深圳)有限公司,91440300MACNY9JN9N,深圳,稞米科技(深圳)有限公司,5,3,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
中国铁塔股份有限公司广东省分公司,91440101304563865H,广州,中国铁塔股份有限公司广东省分公司,5,1,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
中国南方电网有限责任公司超高压输电公司电力科研院,91440101668132206T,广州,中国南方电网有限责任公司超高压输电公司电力科研院,4,4,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
平安科技(深圳)有限公司,91440300672975038T,深圳,平安科技(深圳)有限公司,4,4,2019,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东高德星光智能科技有限公司,91441900559127221R,东莞,广东高德星光智能科技有限公司,4,4,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州汽车集团股份有限公司,91440101633203772F,广州,广州汽车集团股份有限公司,4,4,2022,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州鼎飞航空科技有限公司,91440116327608675X,广州,广州鼎飞航空科技有限公司,4,4,2018,2023,企业,是,否,P1-立即补录,建议补录进企业主表
深圳南瑞科技有限公司,91440300MAD79YUR0M,深圳,深圳南瑞科技有限公司,4,4,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市斯威普科技有限公司,9144030035881229XM,深圳,深圳市斯威普科技有限公司,4,4,2018,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市科比特航空科技有限公司,,深圳,中关村科技租赁股份有限公司,4,4,2017,2019,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市雅诺讯科技有限公司,91440300558657378W,深圳,深圳市雅诺讯科技有限公司,4,4,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市龙云创新航空科技有限公司,914403003265015852,深圳,深圳市龙云创新航空科技有限公司,4,4,2017,2023,企业,是,否,P1-立即补录,建议补录进企业主表
珠海格力电器股份有限公司,91440400192548256N,珠海,珠海格力电器股份有限公司,4,4,2018,2024,企业,是,否,P1-立即补录,建议补录进企业主表
国兴(东莞)新能源科技有限公司,91441900MA521A14XL,东莞,国兴(东莞)新能源科技有限公司,4,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东电网有限责任公司佛山供电局,9144060073757157XN; 91440000MA4WCUGX22,佛山,南方电网数字电网科技(广东)有限公司,4,3,2020,2021,企业,是,否,P1-立即补录,建议补录进企业主表
广东电网能源发展有限公司,91440000190324785G,广州,广东电网能源发展有限公司,4,3,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
影石创新科技股份有限公司,91440300342470600P,深圳,影石创新科技股份有限公司,4,3,2019,2022,企业,是,否,P1-立即补录,建议补录进企业主表
深圳国技仪器有限公司,91440300573138904B,深圳,深圳国技仪器有限公司,4,2,2017,2017,企业,是,否,P1-立即补录,建议补录进企业主表
国科星图(深圳)数字技术产业研发中心有限公司,91440300335381060Q,深圳,国科星图(深圳)数字技术产业研发中心有限公司,4,1,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
中网能源科技(广东)有限公司,91440106MACE6CJ75E,广州,中网能源科技(广东)有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
南方电网人工智能科技有限公司,91440112MA9YBT5EXE,广州,南方电网人工智能科技有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东利通科技投资有限公司,91440101725017352U,广州,广东利通科技投资有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东南方电信规划咨询设计院有限公司,914403001922076544,深圳,广东南方电信规划咨询设计院有限公司,3,3,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东广宇科技发展有限公司,91440605698121487C,佛山,广东广宇科技发展有限公司,3,3,2020,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东森旭通用设备科技有限公司,91441900304266422J,东莞,广东森旭通用设备科技有限公司,3,3,2023,2023,企业,是,否,P1-立即补录,建议补录进企业主表
广东汇博机器人技术有限公司,914406050718963859,佛山,广东汇博机器人技术有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东特视能智能科技有限公司,91440300555439391G,广州,广东特视能智能科技有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广东粤电科试验检测技术有限公司,91440101MA5C4FU788,广州,广东粤电科试验检测技术有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州佰沃智能科技有限公司,91440101MA9UWF68XC,广州,广州佰沃智能科技有限公司,3,3,2021,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广州全成多维信息技术有限公司,914401156734874746,广州,广州全成多维信息技术有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
广船国际有限公司,914401017889253316,广州,广船国际有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
淘点链(广州)信息科技有限公司,91440101MA5CP99W7C,广州,淘点链(广州)信息科技有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳一电航空技术有限公司,9144030007751937X0,深圳,深圳一电航空技术有限公司,3,3,2015,2017,企业,是,否,P1-立即补录,建议补录进企业主表
深圳天鹰兄弟无人机创新有限公司,91440300359655169L,深圳,深圳天鹰兄弟无人机创新有限公司,3,3,2024,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市中正测绘科技有限公司,914403007466468368,深圳,深圳市中正测绘科技有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市中联讯科技有限公司,91440300772714863C,深圳,深圳市中联讯科技有限公司,3,3,2018,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市创客火科技有限公司,91440300081281456X,深圳,深圳市创客火科技有限公司,3,3,2020,2024,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市华赛睿飞智能科技有限公司,91440300MA5GQT6266,深圳,深圳市华赛睿飞智能科技有限公司,3,3,2023,2023,企业,是,否,P1-立即补录,建议补录进企业主表
深圳市卓驭科技有限公司,91440300MA5HJG6H6H,深圳,深圳市卓驭科技有限公司,3,3,2023,2024,企业,是,否,P1-立即补录,建议补录进企业主表
