公司名称,统一社会信用代码,整合后产业链环节,是否有专利,高德返回市,高德返回区县,地级市代码,经度,纬度,年份,年鉴省,年鉴省,年鉴市,地区生产总值_当年价格_亿元_全市,人均地区生产总值_元_全市,科学技术支出_万元_全市,固定资产投资_万元_全市,常住人口_万人_全市,第三产业占地区生产总值的比重_全市,发明专利授权数_件_全市,国家级高新技术企业数_个_全市,技术合同成交额_万元_全市
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,1998.0,广东省,广东省,深圳市,1289.019,,,4546016.0,,48.7,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,1999.0,广东省,广东省,深圳市,1436.5071,,,5446834.0,,48.3,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2000.0,广东省,广东省,深圳市,1665.2406,,,5945958.0,,46.4,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2001.0,广东省,广东省,深圳市,1954.17,152099.16,,6466933.0,,45.01,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2002.0,广东省,广东省,深圳市,2256.83,46388.0,,7998400.0,,44.45,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2003.0,广东省,广东省,深圳市,2895.407,54545.0,15274.0,9491016.0,,39.9,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2004.0,广东省,广东省,深圳市,3422.8,59271.0,13754.0,10925500.0,,37.99,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2005.0,广东省,广东省,深圳市,4950.9078,60801.0,16300.0,11810542.0,,46.61,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2006.0,广东省,广东省,深圳市,5813.5624,69450.0,16769.0,12736693.0,,47.42,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2007.0,广东省,广东省,深圳市,6801.5706,79645.0,498998.0,13450037.0,,49.84,,,
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440300,113.919219,22.493348,2008.0,广东省,广东省,深圳市,7806.5387,89814.0,546820.0,14676043.0,,51.04,,,
