公司名称,统一社会信用代码,整合后产业链环节,是否有专利,高德返回市,高德返回区县,adcode,地级市代码,经度,纬度
广东电网有限责任公司东莞供电局,914419007385933083,下游,是,东莞市,,441900,441900,113.788427,23.063622
佛山市南海区大数据投资建设有限公司,91440605MA52DEJ91R,中游,是,佛山市,南海区,440605,440600,113.095075,23.062075
佛山顺德光启尖端装备有限公司,91440606MA531XDX75,中游,是,佛山市,顺德区,440606,440600,113.200811,22.754777
嘉馨（广州）低空经济产业发展有限公司,91440113MAEGPGXA9J,上游,否,广州市,番禺区,440113,440100,113.373908,22.978208
广东电网有限责任公司,91440000730486030B,下游,是,广州市,越秀区,440104,440100,113.30852,23.132286
广东电网有限责任公司广州供电局,91440101734916755P,下游,是,广州市,天河区,440106,440100,113.329518,23.131384
亿航智能设备有限公司,91440116MA59AB9P0B,中游,是,广州市,黄埔区,440112,440100,113.529652,23.054508
南方电网电力科技股份有限公司,91440000190345797E,中游,是,广州市,越秀区,440104,440100,113.248567,23.131838
南方电网通用航空服务有限公司,91530000MA6MYLGN0A,中游,是,广州市,南沙区,440115,440100,113.498253,22.749483
广东新禾智慧数字科技有限公司,914401065937484197,中游,是,广州市,黄埔区,440112,440100,113.456988,23.172135
广东汇天航空航天科技有限公司,91440101MA9W1BQA5Y,中游,是,广州市,天河区,440106,440100,113.381784,23.159138
广州中科云图智能科技有限公司,91440101MA59P95W94,中游,是,广州市,海珠区,440105,440100,113.399803,23.094168
广州亿航智能技术有限公司,91440106304742759X,中游,是,广州市,天河区,440106,440100,113.421436,23.177673
广州市华科尔科技股份有限公司,91440115734926603P,中游,是,广州市,南沙区,440115,440100,113.402701,22.890164
广州极飞科技股份有限公司,91440106593721849Y,中游,是,广州市,黄埔区,440112,440100,113.480754,23.159317
中天（深圳）低空经济产业投资有限公司,91440300MAEF6G4246,上游,否,深圳市,南山区,440305,440300,113.919219,22.493348
星耀空科低空科技（深圳）有限公司,91440300MAEB3T1B45,上游,否,深圳市,龙华区,440309,440300,114.040088,22.645408
深圳联合飞机科技有限公司,914403003116581250,上游,是,深圳市,龙岗区,440307,440300,114.235163,22.653903
深圳蜚廉低空飞行服务有限公司,91440300MADFFCFB4G,上游,否,深圳市,龙岗区,440307,440300,114.118475,22.648694
比亚迪股份有限公司,91440300192317458F,下游,是,深圳市,龙岗区,440307,440300,114.435752,22.632647
丰翼科技(深圳)有限公司,91440300MA5FA4QL2L,中游,是,深圳市,宝安区,440306,440300,113.832804,22.620869
华为技术有限公司,914403001922038216,中游,是,深圳市,龙岗区,440307,440300,114.246884,22.720889
哈瓦国际航空技术(深圳)有限公司,91440300319491403H,中游,是,深圳市,龙华区,440309,440300,114.090797,22.714826
深圳市喜悦智慧数据有限公司,91440300319512147W,中游,是,深圳市,龙华区,440309,440300,114.025367,22.621653
深圳市大疆创新科技有限公司,914403007954257495,中游,是,深圳市,南山区,440305,440300,113.942888,22.577473
深圳市大疆灵眸科技有限公司,914403000589938852,中游,是,深圳市,南山区,440305,440300,113.942888,22.577473
深圳市好盈科技股份有限公司,914403007787549030,中游,是,深圳市,龙岗区,440307,440300,114.280694,22.684798
深圳市智源万联科技有限公司,91440300MADFQJH81G,中游,是,深圳市,南山区,440305,440300,113.944647,22.546097
深圳市科卫泰实业发展有限公司,91440300279392266B,中游,是,深圳市,宝安区,440306,440300,113.868657,22.631012
深圳市道通智能航空技术股份有限公司,91440300306077254B,中游,是,深圳市,南山区,440305,440300,113.904625,22.529312
深城交科技集团股份有限公司,91440300671877217N,中游,是,深圳市,龙华区,440309,440300,114.02341,22.612012
美团科技有限公司,91440300MA5G0YNU5T,中游,是,深圳市,龙华区,440309,440300,114.0329,22.611134
顺丰科技有限公司,91440300687582704U,中游,是,深圳市,南山区,440305,440300,113.940283,22.524455
广东横琴东昇防务科技有限公司,91440400MACN71M6XE,上游,否,珠海市,香洲区,440402,440400,113.518232,22.123953
珠海光恒科技有限公司,91440400MA4WAGEK48,上游,否,珠海市,香洲区,440402,440400,113.543372,22.265635
珠海天晴航空航天科技有限公司,91440400MA4UQCBU13,中游,是,珠海市,金湾区,440404,440400,113.32451,22.112447
珠海安擎科技有限公司,91440402MA7F2J5E28,中游,是,珠海市,香洲区,440402,440400,113.513212,22.281761
珠海市双捷科技有限公司,914404000684993620,中游,是,珠海市,香洲区,440402,440400,113.50271,22.292001
珠海紫燕无人飞行器有限公司,91440400304050613H,中游,是,珠海市,香洲区,440402,440400,113.56186,22.39424
